Modulos com termos enriquecidos	Termos GO utilizados para enriquecimento neste modulo
172	GO:0090567,GO:0009056,GO:0006508,GO:0048519,GO:0006457,GO:0032774,GO:0036211,GO:0006950,GO:0055086,GO:0015979,GO:0009607,GO:0006753,GO:0071702,GO:0009611,GO:0015770,GO:0006996,GO:0048583,GO:0034220,GO:0006816,GO:0030001,GO:0034660,GO:0009719,GO:0042221,GO:0015074,GO:0042908,GO:0005996,GO:0061024,GO:0006357,GO:0022607,GO:0032196,GO:0090407,GO:0018206,GO:0006413,GO:0044248,GO:0051641,GO:0009751,GO:0065009,GO:0044085,GO:0006629
173	GO:0033036,GO:0006066,GO:0034220,GO:0036211,GO:0032392,GO:0006468,GO:0032196,GO:0032774,GO:0071702,GO:0009056,GO:0090227,GO:0006950,GO:0048519,GO:0044085,GO:0009791,GO:0006396,GO:0006508,GO:0032259,GO:0006996,GO:0009607,GO:0071897,GO:0022900,GO:0034660,GO:0044248,GO:1901565,GO:0006284,GO:0071248,GO:0007166,GO:0015669,GO:0006629,GO:0006413,GO:0090407,GO:0033554,GO:0090305
174	GO:0044419,GO:0010033,GO:1901700,GO:0006950,GO:0036211,GO:0032879,GO:0006629,GO:0006820,GO:0034220,GO:0006457,GO:0016053,GO:0015711,GO:0048519,GO:0044262,GO:0006508,GO:0065008,GO:0006468,GO:0055086,GO:0009607,GO:0006304,GO:0090407,GO:0032787,GO:0015980,GO:0033036,GO:0032774,GO:0006996,GO:0015074,GO:0044085,GO:1901293,GO:0006753,GO:0071702,GO:0032502,GO:0009056,GO:0051726
175	GO:0042221,GO:0048585,GO:0006950,GO:0036211,GO:0006457,GO:0045230,GO:0005996,GO:0016192,GO:0035556,GO:1901615,GO:0000272,GO:0044262,GO:0002218,GO:0002758,GO:0007186,GO:0032259,GO:0006629,GO:0006996,GO:0033993,GO:0009725,GO:0090305,GO:0009451,GO:0048519,GO:0044085,GO:0015074,GO:0016053,GO:0006396,GO:0008033,GO:0009056,GO:0071702,GO:0006812,GO:0051649,GO:0044272,GO:0032774,GO:0007005,GO:0090407,GO:0032409
176	GO:1901575,GO:0010817,GO:0006508,GO:0032196,GO:0009894,GO:0048519,GO:0065008,GO:0005996,GO:0010075,GO:0010015,GO:0036211,GO:0006950,GO:0042221,GO:0031930,GO:0044419,GO:0009605,GO:0090407,GO:0071702,GO:0009451,GO:0006996,GO:0015074,GO:0032774,GO:0032259,GO:0006325
177	GO:0006508,GO:0048519,GO:0036211,GO:0046339,GO:0048868,GO:0006950,GO:0071897,GO:0006996,GO:0009056,GO:0032196,GO:0006857,GO:0071702,GO:0044262,GO:0015074,GO:0032259,GO:0052865,GO:0044085,GO:0006325,GO:0033036,GO:0035303,GO:0007166,GO:0032774,GO:0006353
178	GO:0006396,GO:0033036,GO:0071702,GO:0036211,GO:0006468,GO:0006413,GO:0009056,GO:0090305,GO:0006950,GO:0051641,GO:0033554,GO:0035556,GO:1901615,GO:0006629,GO:0009607,GO:0034220,GO:0065008,GO:0022900,GO:0043648,GO:0044085,GO:0055086
179	GO:0044255,GO:0006631,GO:0032787,GO:0044262,GO:0005976,GO:0009250,GO:0006950,GO:0036211,GO:0009056,GO:0055086,GO:0032259,GO:0006996,GO:0044085,GO:0042221,GO:0019748,GO:0009657,GO:0065008,GO:0034660
180	GO:0071702,GO:0006950,GO:0036211,GO:0008037,GO:0009056,GO:0032774,GO:0042886,GO:0051649,GO:0044085
183	GO:0006950,GO:0009607,GO:0009812,GO:0007186,GO:0032787,GO:0065009,GO:0062012,GO:0010033,GO:0046283,GO:0034285,GO:0071554,GO:0035556,GO:0009056,GO:0090305,GO:0036211,GO:0032259,GO:0044085,GO:0006629,GO:0005996,GO:0006508,GO:0043038,GO:0140053,GO:0010224,GO:0006325,GO:0006396,GO:0002943,GO:0065008,GO:0071897,GO:0000003,GO:0032774,GO:0006816,GO:0030001,GO:1901575,GO:0016071,GO:0034660,GO:0006457,GO:0071702,GO:0070525,GO:0070647,GO:0015996,GO:0009620,GO:0016053,GO:0015074,GO:0055086,GO:0006357,GO:0010941,GO:0006665,GO:0006672,GO:0008219,GO:0048580,GO:0006996,GO:0090407,GO:0042886,GO:0042221,GO:0062125,GO:0048467,GO:0033036,GO:0015980,GO:0016180,GO:0043628,GO:0006468,GO:0061077,GO:0034337,GO:0044248,GO:0000272,GO:0032502,GO:0007017,GO:0099402,GO:0034220,GO:0006414,GO:0044419,GO:0009749,GO:0010119,GO:0006003,GO:0022900,GO:0008380,GO:0035303,GO:0006260,GO:0070727,GO:0043933
