Accession	Run	Strandness	Raw Reads	Trimmed Reads	% Trimmed	Mapping Rate
ERR5954215	Internode_Ex-5_37-weeks_Q238	ISR	53,846,622	43,451,754	19.30	96.49
ERR5975231	Internode_Ex-5_37-weeks_Q238	ISR	92,329,548	86,836,650	5.95	98.56
ERR5881976	Internode_5_19-weeks_Q240	ISR	74,660,696	71,139,726	4.72	98.29
ERR5882932	Internode_5_19-weeks_Q240	ISR	71,214,874	66,598,350	6.48	98.40
ERR5883771	Internode_5_19-weeks_Q240	ISR	66,777,688	62,405,058	6.55	98.11
ERR5948545	Internode_5_37-weeks_Q240	ISR	70,751,748	67,360,876	4.79	98.00
ERR5976520	Internode_5_37-weeks_Q240	ISR	74,810,202	71,221,142	4.80	97.68
ERR5981712	Internode_5_37-weeks_Q240	IU	72,852,616	65,283,092	10.39	97.84
ERR5881977	Internode_8_19-weeks_Q240	ISR	72,169,452	64,838,708	10.16	97.84
ERR5886312	Internode_8_37-weeks_Q240	ISR	72,135,934	68,212,710	5.44	97.42
ERR5902781	Internode_8_19-weeks_Q240	ISR	75,602,304	70,657,694	6.54	97.13
ERR5914043	Internode_8_19-weeks_Q240	ISR	68,533,966	63,612,344	7.18	98.02
ERR5954180	Internode_8_37-weeks_Q240	ISR	64,426,252	57,930,664	10.08	97.14
ERR5956575	Internode_8_37-weeks_Q240	ISR	71,306,422	66,257,202	7.08	96.86
ERR5950587	Internode_Ex-5_37-weeks_Q240	ISR	63,346,060	55,887,068	11.77	97.88
ERR5986953	Internode_Ex-5_37-weeks_Q240	ISR	73,641,688	64,173,948	12.86	96.66
ERR5986954	Internode_Ex-5_37-weeks_Q240	IU	62,562,876	54,158,708	13.43	98.05
ERR5883134	Internode_5_19-weeks_Q241	ISR	67,253,992	62,964,368	6.38	98.50
ERR5883634	Internode_5_19-weeks_Q241	ISR	65,195,330	61,254,352	6.04	98.32
ERR5886589	Internode_5_19-weeks_Q241	ISR	67,929,346	63,544,432	6.46	98.48
ERR5955369	Internode_5_37-weeks_Q241	ISR	58,703,392	39,003,134	33.56	98.23
ERR5956523	Internode_5_37-weeks_Q241	ISR	69,647,774	63,245,220	9.19	98.33
ERR5960150	Internode_5_37-weeks_Q241	ISR	80,696,656	77,481,074	3.98	98.24
ERR5883265	Internode_8_19-weeks_Q241	ISR	64,285,044	60,416,888	6.02	98.28
ERR5900339	Internode_8_19-weeks_Q241	ISR	78,995,024	73,074,868	7.49	98.28
ERR5906602	Internode_8_19-weeks_Q241	ISR	58,121,644	53,220,356	8.43	97.94
ERR5950928	Internode_8_37-weeks_Q241	ISR	67,999,152	60,540,238	10.97	97.84
ERR5954115	Internode_8_37-weeks_Q241	ISR	68,800,718	62,097,282	9.74	97.84
ERR5960089	Internode_8_37-weeks_Q241	ISR	80,361,472	75,456,950	6.10	98.05
ERR5918398	Internode_Ex-5_37-weeks_Q241	ISR	76,118,528	70,199,900	7.78	97.22
ERR5956582	Internode_Ex-5_37-weeks_Q241	ISR	70,022,282	61,972,522	11.50	98.34
ERR5987086	Internode_Ex-5_37-weeks_Q241	ISR	64,693,004	58,072,388	10.23	97.94
ERR5880620	Internode_5_19-weeks_Q253	ISR	67,527,482	63,040,018	6.65	98.41
ERR5882927	Internode_5_19-weeks_Q253	ISR	78,414,334	72,455,530	7.60	99.04
ERR5884019	Internode_5_19-weeks_Q253	ISR	47,958,780	38,239,656	20.27	98.08
ERR5917085	Internode_5_37-weeks_Q253	ISR	72,579,362	67,625,202	6.83	98.16
ERR5949402	Internode_5_37-weeks_Q253	ISR	69,356,120	65,838,264	5.07	97.94
ERR5976787	Internode_5_37-weeks_Q253	ISR	64,047,042	56,310,922	12.08	97.92
ERR5882924	Internode_8_19-weeks_Q253	IU	58,948,082	54,782,868	7.07	97.83
ERR5883704	Internode_8_19-weeks_Q253	ISR	84,630,452	78,141,492	7.67	98.13
ERR5902783	Internode_8_19-weeks_Q253	ISR	73,382,734	69,348,854	5.50	98.18
ERR5922084	Internode_8_37-weeks_Q253	ISR	81,142,370	75,315,366	7.18	97.72
ERR5969624	Internode_8_37-weeks_Q253	ISR	73,623,824	69,927,006	5.02	96.13
ERR5976784	Internode_8_37-weeks_Q253	ISR	69,994,040	65,856,382	5.91	98.17
ERR5922114	Internode_Ex-5_37-weeks_Q253	ISR	74,672,320	68,346,518	8.47	96.80
ERR5948273	Internode_Ex-5_37-weeks_Q253	ISR	65,108,154	60,735,116	6.72	97.90
ERR5986477	Internode_Ex-5_37-weeks_Q253	ISR	59,684,024	53,195,922	10.87	96.60
ERR5882632	Internode_5_19-weeks_QN05-1743	ISR	79,626,254	75,724,084	4.90	98.41
ERR5884028	Internode_5_19-weeks_QN05-1743	ISR	65,338,868	62,058,456	5.02	98.54
