Module	Genes	Genes_coding	Genes_ncRNA	Genes_lncRNA
7243	6	2	2	2
7245	4	2	1	1
7250	6	4	1	1
7251	1252	803	277	172
7255	104	44	28	32
7261	53	21	13	19
7268	39	17	9	13
7282	35	14	7	14
7288	28	14	7	7
7299	12	10	1	1
7320	12	7	2	3
7326	15	13	0	2
7332	18	9	4	5
7338	3	1	0	2
7340	16	11	4	1
7346	17	6	5	6
7361	16	9	5	2
7363	4	2	1	1
7364	14	9	2	3
7375	13	4	4	5
7401	12	6	3	3
7405	11	4	1	6
7410	10	7	2	1
7414	2	1	0	1
7415	9	7	0	2
7416	5	3	0	2
7421	4	3	0	1
7432	12	10	0	2
7435	10	5	2	3
7436	4	3	0	1
7451	10	3	5	2
7452	9	3	3	3
7453	8	5	1	2
7455	9	4	3	2
7457	3	2	0	1
7462	3	1	1	1
7467	3	1	1	1
7482	7	4	2	1
7522	5	3	0	2
7537	6	2	3	1
7540	8	4	2	2
7547	8	5	1	2
7555	3	2	0	1
7575	7	1	3	3
7577	5	4	0	1
7586	4	2	1	1
7603	4	2	1	1
7604	5	2	1	2
7619	5	2	2	1
7621	5	3	0	2
7622	5	1	2	2
7623	5	2	2	1
7624	2	1	0	1
7625	4	2	1	1
7629	5	3	1	1
7656	4	3	0	1
7691	5	4	0	1
7699	5	1	3	1
7712	5	4	0	1
7729	5	2	2	1
7732	5	2	2	1
7740	5	3	0	2
7745	5	4	0	1
7750	5	2	2	1
7756	5	2	2	1
7841	6	3	0	3
9746	11	6	1	4
9769	14	4	5	5
9770	12	4	4	4
9772	5	4	0	1
9785	100	49	25	26
9786	23	15	4	4
9791	6	2	2	2
9802	207	107	47	53
9803	32	19	8	5
9804	29	14	10	5
9805	60	30	11	19
9806	21	8	5	8
9807	41	18	13	10
9808	25	9	12	4
9809	13	5	6	2
9810	6	4	1	1
9811	9	6	2	1
9812	7	5	1	1
9814	7	3	2	2
9815	6	3	2	1
9820	10	6	0	4
9821	4	2	0	2
9875	3	2	0	1
9908	5	2	2	1
9930	19	12	6	1
9940	11	7	2	2
9943	3	1	1	1
9955	3	2	0	1
9973	2	1	0	1
10003	12	5	1	6
10034	33	16	6	11
10069	5	4	0	1
10093	8	6	1	1
10105	39	30	5	4
10110	4	3	0	1
10148	3	1	1	1
10149	5	2	1	2
10152	31	13	5	13
10165	4	3	0	1
10174	36	13	11	12
10176	5	4	0	1
10209	4	3	0	1
10210	6	3	1	2
10213	7	5	0	2
10229	12	4	6	2
10293	5	4	0	1
10308	5	2	1	2
10309	6	4	1	1
10317	4	3	0	1
10338	11	4	3	4
10346	8	3	2	3
10362	5	1	2	2
10369	12	7	4	1
10374	10	8	1	1
10395	12	10	0	2
10396	15	9	2	4
10480	41	16	16	9
10515	3	2	0	1
10519	5	2	0	3
10522	15	8	5	2
10534	6	4	0	2
10552	40	15	9	16
10571	2	1	0	1
10582	44	18	8	18
10632	7	4	0	3
10633	7	3	2	2
10669	3	2	0	1
10680	27	14	3	10
10703	8	4	0	4
10720	58	27	15	16
10748	56	31	14	11
10753	5	2	1	2
10822	22	15	3	4
10846	24	12	8	4
10865	7	2	2	3
10887	8	5	1	2
10922	4	2	1	1
10955	9	3	2	4
10958	10	5	1	4
10960	6	4	1	1
10981	5	4	0	1
10991	5	4	0	1
10993	7	5	1	1
11021	8	7	0	1
11028	8	5	1	2
11044	11	8	1	2
11060	4	2	0	2
11061	7	4	2	1
11062	9	7	1	1
11066	12	1	8	3
11081	8	2	3	3
11083	13	6	2	5
11085	10	3	6	1
11103	15	5	4	6
11106	4	2	1	1
11107	15	3	9	3
11117	11	7	3	1
11129	2	1	0	1
11147	3	1	0	2
11157	14	10	0	4
11160	4	1	0	3
11174	21	12	6	3
11184	19	7	8	4
11191	28	12	6	10
11194	6	3	0	3
11200	8	2	3	3
11201	20	11	6	3
11216	32	13	11	8
11225	9	8	0	1
11233	10	3	3	4
11263	35	22	7	6
11264	2	1	0	1
11269	63	36	9	18
11270	62	29	13	20
11273	5	4	0	1
11287	113	52	24	37
11301	106	51	24	31
11319	16880	12657	1834	2389
11334	5	2	1	2
11347	11	4	5	2
11349	5	4	0	1
11363	18	16	1	1
11376	5	3	0	2
11392	3	2	0	1
11404	8	3	1	4
11411	5	1	1	3
11420	5	2	2	1
