Module	Genes	Genes_coding	Genes_protein_and_non_coding	Genes_ncRNA	Genes_lncRNA
3218	7	0	3	4	0
3230	1	0	1	0	0
3234	1	0	0	1	0
3235	16	4	6	3	3
3238	5	1	3	0	1
3239	17	1	3	8	5
3243	2	0	1	0	1
3244	6	0	1	3	2
3247	2	0	1	0	1
3249	1	0	1	0	0
3254	4	0	3	1	0
3256	17	7	2	2	6
3260	9	3	4	2	0
3263	5	1	4	0	0
3275	22	0	15	1	6
3276	13	0	8	2	3
3289	10	0	7	1	2
3291	10	1	6	2	1
3293	10	0	9	1	0
3294	16	1	13	0	2
3311	18	0	12	1	5
3323	34	2	27	3	2
3324	23	2	18	1	2
3336	6	0	3	2	1
3339	1	0	0	0	1
3344	1	0	0	1	0
3375	26	2	12	4	8
3383	1	0	1	0	0
3400	1	0	1	0	0
3403	23	6	6	3	8
3413	22	0	13	6	3
3414	1	0	0	1	0
3421	25	0	16	6	3
3425	27	1	20	5	1
3436	1	0	1	0	0
3444	1	0	1	0	0
3446	2	0	2	0	0
3447	16	0	6	3	7
3451	1	0	1	0	0
3456	3	0	3	0	0
3458	2	0	2	0	0
3463	40	3	23	4	10
3466	7	1	4	2	0
3471	5	0	3	0	2
3472	33	4	10	11	8
3474	3	0	3	0	0
3477	4	0	2	2	0
3480	7	0	6	1	0
3493	11	0	5	1	5
3494	1	0	1	0	0
3496	1	0	1	0	0
3499	3	0	2	0	1
3502	39	4	12	17	6
3507	64	1	47	3	13
3508	12	0	7	2	3
3512	43	6	16	9	12
3516	2	0	2	0	0
3526	1	0	1	0	0
3542	6	1	3	1	1
3547	5	0	2	2	1
3549	5	1	1	3	0
3553	4	2	1	1	0
3554	1	0	0	0	1
3563	3	1	2	0	0
3572	1	0	1	0	0
3576	52	9	15	16	12
3581	6	0	5	0	1
3589	1	0	1	0	0
3608	5	0	3	0	2
3611	14	0	11	1	2
3613	3	0	2	0	1
3626	63	8	14	17	24
3629	4	0	3	0	1
3640	3	0	1	0	2
3643	2	0	1	0	1
3645	77	11	32	18	16
3647	6	0	3	2	1
3651	1	0	1	0	0
3652	2	0	2	0	0
3657	5	0	1	2	2
3661	5	0	3	1	1
3662	1	0	0	1	0
3663	5	0	2	1	2
3664	7	2	1	3	1
3674	1	0	1	0	0
3676	2	0	2	0	0
3690	2	0	0	0	2
3697	49	0	36	8	5
3713	2	0	2	0	0
3728	6	0	5	0	1
3738	2	0	2	0	0
3773	31	1	21	4	5
3777	1	0	0	0	1
3785	3	0	2	0	1
3793	3	1	0	0	2
3798	20	8	5	2	5
3805	4	0	2	1	1
3809	5	0	5	0	0
3811	1	0	0	1	0
3818	5	1	4	0	0
3826	1	0	1	0	0
3832	3	0	2	1	0
3839	1	0	0	1	0
3860	29	1	18	4	6
3861	3	0	2	0	1
3874	3	0	3	0	0
3886	26	0	18	1	7
3902	9	0	9	0	0
3910	7	0	6	0	1
3918	1	0	1	0	0
3922	7	1	4	1	1
3933	24	0	16	1	7
3935	34	0	24	4	6
3938	7	0	5	1	1
3947	14	0	10	2	2
3952	7	0	6	0	1
3955	10	0	5	3	2
3956	2	0	1	0	1
3958	45	2	32	5	6
3960	11	7	3	1	0
3964	43	2	22	9	10
3966	43	0	32	3	8
3970	29	0	22	6	1
3977	2	0	1	0	1
3980	13	0	11	1	1
3983	27	0	24	2	1
3991	1	0	0	1	0
3993	4	0	3	0	1
3998	20	3	14	2	1
4003	13	1	9	0	3
4008	15	2	8	2	3
4009	16	0	13	0	3
4018	10	0	9	1	0
4019	2	0	2	0	0
4021	1	0	1	0	0
4026	3	1	0	2	0
4031	4	0	4	0	0
4041	4	0	2	2	0
4047	9	0	8	1	0
4048	2	0	2	0	0
4058	10	0	9	0	1
4062	24	0	19	1	4
4063	10	0	7	3	0
4066	6	0	3	1	2
4080	8	0	5	2	1
4081	6	0	2	0	4
4101	5	1	4	0	0
4102	6	0	6	0	0
4103	1	0	0	1	0
4121	5	0	5	0	0
4126	8	0	5	1	2
4142	17	0	16	0	1
4143	6	1	1	2	2
4145	8	1	4	2	1
4154	4	0	2	0	2
4162	2	1	0	0	1
4164	3	0	2	0	1
4175	1	0	1	0	0
4180	1	0	1	0	0
4182	1	0	1	0	0
4186	1	0	1	0	0
4218	2	0	2	0	0
4219	2	0	1	1	0
4226	44	8	14	11	11
4229	6	0	5	0	1
4238	10	0	8	0	2
4258	1	0	1	0	0
4260	3	0	2	0	1
4272	7	0	6	0	1
4273	1	0	1	0	0
4276	34	1	28	1	4
