Modulos com termos enriquecidos	Termos GO utilizados para enriquecimento neste modulo
1329	GO:0055086,GO:0016053,GO:0032446,GO:0065008,GO:0006508,GO:0036211,GO:0009749,GO:0071705,GO:0005996,GO:0009308,GO:0071702,GO:0098655,GO:1901605,GO:0006325,GO:0022900,GO:0006996,GO:0009056,GO:0071554,GO:0045229,GO:0000278,GO:0006629,GO:0006694,GO:0051301,GO:0007049,GO:0045653
1330	GO:0071554,GO:0009605,GO:0009056,GO:0006950,GO:0044085,GO:0098662,GO:0140352,GO:0006413,GO:0006468,GO:0009451,GO:0006457,GO:0036211,GO:0009314,GO:0007623,GO:0009303,GO:0006996,GO:0006260,GO:0015979,GO:0051246,GO:0016053,GO:0031401,GO:0006396,GO:0034660,GO:0055086
1331	GO:0032774,GO:0071702,GO:0006950,GO:0016053,GO:0022414,GO:0006468,GO:0036211,GO:0031047,GO:0035556,GO:0098727,GO:0006396,GO:0006996,GO:0044085,GO:0044262,GO:0009451,GO:0048518,GO:0006508,GO:0016052,GO:0009056,GO:0022900,GO:0034220,GO:0032502,GO:0070887,GO:0006325,GO:0051259,GO:0019748,GO:0007049,GO:0006629,GO:0010256
1332	GO:0006950,GO:0006575,GO:0006508,GO:0051341,GO:0044093,GO:0006397,GO:0036260,GO:0055086,GO:0036211,GO:0006357,GO:0006629,GO:0034660,GO:0009056,GO:0090305,GO:0051189,GO:0010501,GO:0015074,GO:0044248,GO:0006119,GO:0044262,GO:0006260,GO:0065008,GO:0044085,GO:0009555,GO:0009937,GO:0009939,GO:0090407,GO:0006753,GO:0043157,GO:0006996,GO:0065009,GO:0071702,GO:0051321,GO:0051641,GO:0016053
1340	GO:0006357,GO:0036211,GO:0006950,GO:0032259
1345	GO:0071702,GO:0006508,GO:0044419,GO:0009605
1349	GO:0006508,GO:0006629
1352	GO:0055086,GO:0090407
1353	GO:0042221,GO:0051641,GO:0006145,GO:0090407
1354	GO:0044085,GO:0006508
1355	GO:0044085,GO:0055086,GO:0090407
1356	GO:0071702,GO:0006414
1357	GO:0019878,GO:0071702
1358	GO:0006950,GO:0006629,GO:0036211,GO:0016053
1360	GO:0006396,GO:0044262,GO:0006996
1361	GO:0036211,GO:0071702,GO:0046890,GO:0048519
1362	GO:0006950,GO:0006468,GO:0036211,GO:0016051,GO:0006749
1363	GO:0044085,GO:0006996,GO:0032501,GO:0065009,GO:0006629
1364	GO:0036211,GO:0032259,GO:0051641
1365	GO:0036211,GO:0015980,GO:0016053,GO:0033036,GO:0007275,GO:0048518,GO:0006508,GO:0006468
1366	GO:0009056,GO:0042221
1367	GO:0036211,GO:0071702,GO:0009056
1368	GO:0044085,GO:0006396,GO:0006996,GO:0006629,GO:0036211
1369	GO:0006357,GO:0006996,GO:0006396,GO:0036211,GO:0009555
1370	GO:0006790,GO:0016051,GO:0044085,GO:0042886,GO:0034220,GO:0005996,GO:0009056,GO:0006950,GO:0070213,GO:0036211,GO:0016053
1371	GO:0006508,GO:0006950,GO:0044248,GO:0090305,GO:0034220,GO:0090407
1372	GO:0032259,GO:0036211,GO:0016311,GO:0032502,GO:0071702,GO:0034220,GO:0070979
1373	GO:0034220,GO:0006950,GO:0090407,GO:0036211,GO:0009056,GO:0032774,GO:0032259
1374	GO:0010948,GO:0006468,GO:0006457,GO:0036211,GO:0055086
1375	GO:0034220,GO:0006457,GO:0051246,GO:0036211,GO:0055086
1376	GO:0036211,GO:0009056,GO:0006468,GO:0006950,GO:0071554,GO:0006457,GO:0032528,GO:0055086,GO:0090407,GO:0006996,GO:0036473,GO:0042254
1377	GO:0006396,GO:1901565,GO:0005996,GO:0071702,GO:0006970,GO:0009607,GO:0006950,GO:0009056,GO:0015074,GO:0071897,GO:0044262,GO:0035556,GO:0006996,GO:0036211,GO:0016053,GO:0009741,GO:0006468,GO:0034220
1378	GO:0006950,GO:0016053,GO:0009100,GO:0036211,GO:0032774,GO:0010425,GO:0062012,GO:0009607,GO:0006396,GO:0045229,GO:0044262,GO:0022607,GO:0045003,GO:0071702
1379	GO:0006950,GO:0006414,GO:0018209,GO:0018105,GO:0006468,GO:0050793,GO:0032502,GO:0006629,GO:0033036,GO:0006457,GO:0006996,GO:0071702,GO:0006631,GO:0006633,GO:0044085,GO:0099402,GO:0048507,GO:0048444,GO:0010073,GO:0006396,GO:0036211,GO:0015698,GO:0006820,GO:0065008,GO:0006508,GO:0090407,GO:0032774
1393	GO:0051315,GO:0035556
1396	GO:0032504,GO:0007017,GO:0036211
