Gene	Gene Category
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0019733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0020733	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0021415	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0022896	protein and non-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
OG0023629	protein-coding
