Genotypes	Groups	Class	Sequences
11	1539736	pan	2762554
11	1539706	accessory	2761693
11	26	soft-core	751
11	4	hard-core	110
11	1867452	exclusive	0
11	947188	pan	1459777
11	947175	accessory	1459383
11	8	soft-core	218
11	5	hard-core	176
11	2460000	exclusive	0
11	1012697	pan	1557031
11	1012674	accessory	1556400
11	18	soft-core	463
11	5	hard-core	168
11	2394491	exclusive	0
11	1190667	pan	1893784
11	1190657	accessory	1893460
11	9	soft-core	290
11	1	hard-core	34
11	2216521	exclusive	0
11	1194669	pan	1873837
11	1194661	accessory	1873665
11	7	soft-core	137
11	1	hard-core	35
11	2212519	exclusive	0
12	1553267	pan	2686607
12	1553261	accessory	2686464
12	5	soft-core	125
12	1	hard-core	18
12	1853921	exclusive	0
12	1547543	pan	2813148
12	1547520	accessory	2812296
12	19	soft-core	648
12	4	hard-core	204
12	1859645	exclusive	0
12	1295401	pan	2041518
12	1295393	accessory	2041246
12	7	soft-core	245
12	1	hard-core	27
12	2111787	exclusive	0
12	948992	pan	1458047
12	948987	accessory	1457858
12	3	soft-core	94
12	2	hard-core	95
12	2458196	exclusive	0
12	1341214	pan	2212869
12	1341202	accessory	2212540
12	10	soft-core	291
12	2	hard-core	38
12	2065974	exclusive	0
12	1196933	pan	1911863
12	1196916	accessory	1911339
12	13	soft-core	407
12	4	hard-core	117
12	2210255	exclusive	0
12	1413600	pan	2352575
12	1413569	accessory	2351652
12	22	soft-core	604
12	9	hard-core	319
12	1993588	exclusive	0
12	951115	pan	1487027
12	951112	accessory	1486952
12	3	soft-core	75
12	0	hard-core	0
12	2456073	exclusive	0
12	1297148	pan	2117498
12	1297140	accessory	2117233
12	7	soft-core	214
12	1	hard-core	51
12	2110040	exclusive	0
12	1480276	pan	2565676
12	1480243	accessory	2564547
12	25	soft-core	804
12	8	hard-core	325
12	1926912	exclusive	0
12	1360481	pan	2235958
12	1360466	accessory	2235464
12	10	soft-core	310
12	5	hard-core	184
12	2046707	exclusive	0
12	1576859	pan	2792398
12	1576854	accessory	2792263
12	3	soft-core	76
12	2	hard-core	59
12	1830329	exclusive	0
