NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
737520	1076414	pan	9	5
1	26	hard-core	9	5
14	274	soft-core	9	5
86516	270024	accessory	9	5
650990	806116	exclusive	9	5
751629	1110741	pan	9	6
9	176	hard-core	9	6
35	721	soft-core	9	6
95142	295349	accessory	9	6
656452	814671	exclusive	9	6
1144458	1788059	pan	9	7
11	307	hard-core	9	7
50	1140	soft-core	9	7
154521	514165	accessory	9	7
989887	1272754	exclusive	9	7
870073	1361847	pan	9	8
3	106	hard-core	9	8
23	500	soft-core	9	8
135359	451691	accessory	9	8
734691	909656	exclusive	9	8
682412	985653	pan	9	9
2	82	hard-core	9	9
17	345	soft-core	9	9
84258	256466	accessory	9	9
598137	728842	exclusive	9	9
985446	1532460	pan	9	10
9	211	hard-core	9	10
34	747	soft-core	9	10
132378	435347	accessory	9	10
853034	1096366	exclusive	9	10
1069568	1695046	pan	9	11
18	496	hard-core	9	11
60	1352	soft-core	9	11
140688	470562	accessory	9	11
928820	1223132	exclusive	9	11
876285	1360772	pan	9	12
1	14	hard-core	9	12
19	342	soft-core	9	12
130858	438634	accessory	9	12
745408	921796	exclusive	9	12
1347180	2304994	pan	9	13
10	257	hard-core	9	13
54	1150	soft-core	9	13
242665	886562	accessory	9	13
1104461	1417282	exclusive	9	13
1073267	1689092	pan	9	14
5	146	hard-core	9	14
26	584	soft-core	9	14
142952	479886	accessory	9	14
930289	1208622	exclusive	9	14
1057170	1654041	pan	9	15
10	221	hard-core	9	15
62	1365	soft-core	9	15
142049	466679	accessory	9	15
915059	1185997	exclusive	9	15
1090256	1727928	pan	9	16
6	175	hard-core	9	16
31	668	soft-core	9	16
157587	530125	accessory	9	16
932638	1197135	exclusive	9	16
1240812	2003437	pan	9	17
4	120	hard-core	9	17
17	384	soft-core	9	17
177219	624238	accessory	9	17
1063576	1378815	exclusive	9	17
1022265	1620018	pan	9	18
2	40	hard-core	9	18
23	470	soft-core	9	18
138494	473832	accessory	9	18
883748	1145716	exclusive	9	18
672768	974470	pan	9	19
1	16	hard-core	9	19
7	123	soft-core	9	19
76750	242991	accessory	9	19
596011	731356	exclusive	9	19
1268359	2093004	pan	10	0
2	37	hard-core	10	0
53	1107	soft-core	10	0
207567	726940	accessory	10	0
1060739	1364957	exclusive	10	0
1014884	1531889	pan	10	1
2	44	hard-core	10	1
74	1401	soft-core	10	1
138692	433591	accessory	10	1
876118	1096897	exclusive	10	1
1418624	2376499	pan	10	2
4	108	hard-core	10	2
65	1353	soft-core	10	2
255201	901661	accessory	10	2
1163358	1473485	exclusive	10	2
1321088	2242958	pan	10	3
4	124	hard-core	10	3
108	2377	soft-core	10	3
230300	835827	accessory	10	3
1090680	1404754	exclusive	10	3
1026679	1601829	pan	10	4
8	256	hard-core	10	4
164	3359	soft-core	10	4
136543	444310	accessory	10	4
889972	1154160	exclusive	10	4
1122618	1791166	pan	10	5
8	232	hard-core	10	5
95	1926	soft-core	10	5
172577	574899	accessory	10	5
949946	1214341	exclusive	10	5
788209	1162400	pan	10	6
2	81	hard-core	10	6
47	932	soft-core	10	6
107610	330135	accessory	10	6
680552	831333	exclusive	10	6
1231254	1964326	pan	10	7
1	24	hard-core	10	7
53	1055	soft-core	10	7
187935	627877	accessory	10	7
1043266	1335394	exclusive	10	7
837701	1204934	pan	10	8
1	23	hard-core	10	8
38	749	soft-core	10	8
102739	311662	accessory	10	8
734924	892523	exclusive	10	8
1095315	1708802	pan	10	9
1	21	hard-core	10	9
43	813	soft-core	10	9
147050	483212	accessory	10	9
948222	1224777	exclusive	10	9
818573	1200600	pan	10	10
2	55	hard-core	10	10
49	923	soft-core	10	10
104758	319566	accessory	10	10
713766	880111	exclusive	10	10
1175478	1834164	pan	10	11
1	19	hard-core	10	11
72	1408	soft-core	10	11
171975	567335	accessory	10	11
1003431	1265421	exclusive	10	11
903430	1424436	pan	10	12
3	114	hard-core	10	12
61	1263	soft-core	10	12
146038	480868	accessory	10	12
757331	942305	exclusive	10	12
841123	1255877	pan	10	13
3	64	hard-core	10	13
40	753	soft-core	10	13
116936	366081	accessory	10	13
724147	889043	exclusive	10	13
858212	1283240	pan	10	14
1	19	hard-core	10	14
38	707	soft-core	10	14
121701	387281	accessory	10	14
736473	895252	exclusive	10	14
825090	1196673	pan	10	15
0	0	hard-core	10	15
14	229	soft-core	10	15
100679	317506	accessory	10	15
724397	878938	exclusive	10	15
1045103	1678586	pan	10	16
0	0	hard-core	10	16
230	4480	soft-core	10	16
171316	588562	accessory	10	16
873557	1085544	exclusive	10	16
1052179	1632423	pan	10	17
1	45	hard-core	10	17
49	881	soft-core	10	17
144805	477145	accessory	10	17
907325	1154397	exclusive	10	17
748561	1148239	pan	10	18
