out.5.8_16395	out.5.3_15555 
out.5.8_10070	out.5.3_9770 
out.5.8_16372	out.5.3_15535 
out.2.8_504	out.2.3_288 
out.2.8_504	out.3.3_784 
out.5.3_6790	out.5.8_6854 
out.1.8_1389	out.1.3_678 
out.5.8_6429	out.5.3_9689 
out.5.8_9966	out.5.3_9669 
out.5.3_6713	out.5.8_6771 
out.5.3_6712	out.5.8_6770 
out.5.8_6387	out.5.3_9621 
out.5.3_6706	out.5.8_6764 
out.5.8_9904	out.5.3_9606 
out.5.8_9871	out.5.3_9572 
out.5.8_9849	out.5.3_9547 
out.5.3_6623	out.5.8_6679 
out.5.3_6603	out.5.8_6657 
out.5.8_9839	out.5.3_9538 
out.5.8_9808	out.5.3_9506 
out.5.8_9798	out.5.3_9496 
out.5.8_9779	out.5.3_9479 
out.5.8_9777	out.5.3_9477 
out.5.8_9773	out.5.3_9473 
out.5.3_6546	out.5.8_6601 
out.5.3_6542	out.5.8_6597 
out.5.8_9768	out.5.3_9469 
out.5.8_9751	out.5.3_9451 
out.5.3_6485	out.5.8_6540 
out.5.8_9740	out.5.3_9440 
out.5.8_9709	out.5.3_9411 
out.5.8_9706	out.5.3_9408 
out.5.8_9705	out.5.3_9407 
out.3.3_159	out.3.8_336 
out.5.3_6400	out.5.8_6448 
out.5.8_9665	out.5.3_9368 
out.5.8_9664	out.5.3_9367 
out.5.8_9655	out.5.3_9357 
out.2.8_559	out.2.3_478 
out.2.8_559	out.3.3_883 
out.2.8_560	out.2.3_416 
out.2.8_560	out.3.3_1058 
out.5.3_6360	out.5.8_6407 
out.5.8_16365	out.5.3_15528 
out.5.8_9654	out.5.3_9356 
out.5.8_9646	out.5.3_9348 
out.5.8_9645	out.5.3_9347 
out.5.8_9635	out.5.3_9338 
out.2.8_573	out.2.3_423 
out.2.8_573	out.3.3_1004 
out.5.8_16360	out.5.3_15523 
out.5.3_6316	out.5.8_6354 
out.5.8_9625	out.5.3_9329 
out.5.8_9621	out.5.3_9326 
out.5.8_6195	out.5.3_9302 
out.5.8_9583	out.5.3_9289 
out.5.3_6257	out.5.8_4582 
out.1.8_1368	out.1.3_897 
out.3.3_958	out.2.8_584 
out.3.3_958	out.3.8_1516 
out.3.3_4709	out.2.8_5284 
out.3.3_4710	out.2.8_2933 
out.5.3_6170	out.5.8_6206 
out.5.3_6166	out.5.8_6202 
out.5.3_6138	out.5.8_6172 
out.5.3_6094	out.5.8_6128 
out.5.3_6092	out.5.8_6126 
out.5.3_6085	out.5.8_6118 
out.5.3_6061	out.5.8_6093 
out.2.8_634	out.2.3_486 
out.5.3_6050	out.5.8_6081 
out.5.3_6047	out.5.8_6078 
out.5.3_6033	out.5.8_6065 
out.5.3_5992	out.5.8_6020 
